customer_id,age,zip_code,annual_income,graduation_year,high_school_sports,club_memberships,marital_status,num_dependents,criminal_record,loan_approved
1001,34,90210,85000,2009,1,3,Married,1,0,1
1002,27,10032,32000,2016,0,1,Single,0,0,0
1003,45,77001,120000,2001,1,5,Married,3,0,1
1004,22,48201,18000,2020,0,0,Single,0,1,0
1005,38,94102,67000,2009,1,2,Divorced,2,0,1
1006,55,60601,200000,1992,1,7,Married,4,0,1
1007,29,11201,41000,2015,0,1,Single,0,0,0
1008,42,33101,95000,2005,1,4,Married,2,0,1
1009,31,75201,52000,2013,0,2,Single,1,0,0
1010,50,98101,175000,1997,1,6,Married,3,0,1
1011,25,48205,15000,2019,0,0,Single,0,1,0
1012,36,60607,88000,2010,1,3,Married,2,0,1
1013,48,90001,55000,2000,0,1,Divorced,1,0,0
1014,33,10033,39000,2012,0,1,Single,0,0,0
1015,61,33102,230000,1986,1,8,Married,5,0,1
